project_id,tag,Reasoning,title,description,project_url,operating_unit,budget,expense,budget_breakdown,our_focus,signature_solutions,sdg,sdg_names,focus_area,focus_area_descr,markers,start_date,end_date
01001389,focused,"The project is directly aimed at investing in water harvesting infrastructure, rehabilitating damaged water infrastructure, and includes flood protection structures.",IWRM-Integrated Water Resources Management-KFW,"This objective of this 3 year-project will be achieved by investing in new water harvesting infrastructure aimed toaugment existing supplies to efficiently capture surface water as well as sustainable groundwater such as small tomedium surface and subsurface dams, dykes, weirs, etc. The objective will also be achieved by rehabilitating existingdamaged or unmaintained infrastructure which could include community cisterns, shallow wells, canals, soil erosioncontrol measures, bank protection, low-tech agricultural infrastructure, flood protection structures (gabions, terraces,and embankments).",https://open.undp.org/projects/01001389,Yemen,12161457.0,1368878.0,"Budget by year: 2025: $10,668,672.00; 2024: $1,486,057.00; 2023: $6,728.00. SDG 6 (Clean water and sanitation) budget: 2023: $6,728.00; 2024: $1,486,057.00; 2025: $10,668,672.00. ",,,6,Clean water and sanitation,21,"Structural transformation, including green, inclusive and digital transitions","Digital: Output partially enabled through digital technology, Output significantly enabled through digital technology; OECD DAC Sector: 140 - Water Supply & Sanitation",2023-10-19,2026-10-19
01000065,none,"This project is centered around gender equality, women in leadership, and empowerment in Samoa, with no mention of water-related topics or infrastructure.",Women in Leadership - Phase II,"UNDP and UN Women recognize hat the achievement of gender equality and women in leadership in Samoa needs sustained long-term investment to overcome the systemic, institutional, cultural, and attitudinal barriers. Responding to the Government of Samoa’s national priorities for gender equality and women’s empowerment, the two agencies are proposing a second phase for the successful Women in Leadership in Samoa (WILS) joint programme that builds on the results achieved and lessons learned from Phase 1 (2018-2022) and accelerates progress. To keep the momentum of critical capacity development initiatives for young and emerging women leaders at the village level, in the public and private sectors and in Parliament while allowing more time for UNDP and UN Women to work with national stakeholders on finetuning and finalizing the planning for the new joint programme phase as well as resource mobilization, UNDP will implement this WILS Phase 2 Initiation Plan (IP) as part of a joint work plan with UN Women from 1 Jan",https://open.undp.org/projects/01000065,Samoa,120594.0,97607.0,"Budget by year: 2025: $0.00; 2024: $16,843.00; 2023: $103,751.00. ",,,,,22,Leaving no one behind,Hows: Capacity Development / Technical Assistance; Joint Programme: Passthrough; Whos: Women; Digital: No digital technology utilized; Human Rights: Significant contribution to realization of human rights; OECD DAC Sector: 150 - Government & Civil Society,2023-01-01,2024-09-30
01000969,none,The project focuses on inclusive economic transformation and territorial governance in Mauritania without mentioning any water-related aspects or infrastructure.,Programme d’appui à la transformation économique inclusive et au renforcement de la gouvernance territoriale” in Mauritania,Programme d’appui à la transformation économique inclusive et au renforcement de la gouvernance territoriale” en Mauritanie.,https://open.undp.org/projects/01000969,Mauritania,5393029.0,3310981.0,"Budget by year: 2025: $1,118,000.00; 2024: $3,281,429.00; 2023: $993,600.00. SDG 8 (Decent work and economic growth) budget: 2023: $331,166.88; 2024: $1,093,700.29; 2025: $372,629.40. SDG 1 (No poverty) budget: 2023: $331,266.24; 2024: $1,094,028.43; 2025: $372,741.20. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $331,166.88; 2024: $1,093,700.29; 2025: $372,629.40. ",,,"8, 1, 16","Decent work and economic growth, No poverty, Peace, justice, and strong institutions",23,Building resilience,"Digital: No digital technology utilized, Output partially enabled through digital technology; OECD DAC Sector: 150 - Government & Civil Society, 160 - Other Social Infrastructure & Services",2023-07-04,2025-12-31
01000708,none,"There is no mention of any water-related elements or aspects such as rivers, lakes, water infrastructure, or water resource management in the project title or description.",Institutional strengthening Phase XV: GHA/SEV/91/INS/54,Extension of the institutional Strengthening project (Phase XV: 1/2023-12/2024) GHA/SEV/91/INS/54,https://open.undp.org/projects/01000708,Ghana,246127.0,243975.0,"Budget by year: 2025: $0.00; 2024: $123,274.00; 2023: $122,853.00. SDG 13 (Climate action) budget: 2023: $122,853.00; 2024: $123,274.00; 2025: $0.00. ",,,13,Climate action,21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance, Convening / Partnerships / Knowledge Sharing, Institutional Mechanism and System Building; Whos: People living in peri-urban areas, People living in rural areas, People living in slums, People living in urban areas; Climate: Policies and Enabling Environment; Digital: No digital technology utilized; OECD DAC Sector: 430 - Other Multisector",2023-01-01,2024-12-31
01000386,none,"The project focuses on enhancing the climate resilience of urban landscapes and communities without any specific mention of water-related elements such as water infrastructure, water supply, or water resource management.",01000386_PPG Enhancing the Climate Resilience of Urban Landscapes,"The objective of the GEF PPG is to develop the project concept into a full project: Enhancing the Climate Resilience of Urban Landscapes and Communities in Thimphu-Paro region of Bhutan (ECRUL). As described in the project concept (PIF/child project concept note), this project aims to transform the urban planning, management, governance, and investments of Thimphu and Paro for making them and their population resilient to climate change.",https://open.undp.org/projects/01000386,Bhutan,310000.0,299662.0,"Budget by year: 2025: $0.00; 2024: $35,500.00; 2023: $274,500.00. ",,,,,,,Digital: Output significantly enabled through digital technology; OECD DAC Sector: 740 - Disaster Prevention & Preparedness,2023-09-01,2024-12-31
01000378,none,"The project focuses on enhancing energy security, food security, and community security in Moldova, with no mention of water-related issues or infrastructure.",Human Security Project-UNDP-MDA,"The overall objective is to enhance the resilience of the Republic of Moldova, in order to address the multifaceted and interconnected challenges of the current socio-economic, food and energy shocks. Specific objectives: •	Objective 1: To enhance people’s energy security through access to affordable energy that supports livelihoods and energy-efficient production •	Objective 2: To enhance food security by supporting the government to implement its Food Security Strategy, thereby strengthening the capacities of agricultural producers badly hit by the compound crises •	Objective 3: To enhance community security by capacitating the police service and community actors to deliver on the principles of social cohesion and peaceful coexistence",https://open.undp.org/projects/01000378,"Moldova, Republic of",6752243.0,6685601.0,"Budget by year: 2025: $0.00; 2024: $5,076,451.00; 2023: $1,675,792.00. SDG 7 (Affordable and clean energy) budget: 2023: $558,709.05; 2024: $1,692,488.76; 2025: $0.00. SDG 13 (Climate action) budget: 2023: $279,019.37; 2024: $845,229.09; 2025: $0.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $279,354.53; 2024: $846,244.38; 2025: $0.00. SDG 2 (Zero hunger) budget: 2023: $558,709.05; 2024: $1,692,488.76; 2025: $0.00. ",,,"7, 13, 16, 2","Affordable and clean energy, Climate action, Peace, justice, and strong institutions, Zero hunger",21,"Structural transformation, including green, inclusive and digital transitions","COVID-19 Response: Green economy; Digital: Digital technology is principal enabler for the output, Output partially enabled through digital technology, Output significantly enabled through digital technology; OECD DAC Sector: 150 - Government & Civil Society, 230 - Energy, 520 - Development Food Assistance, 720 - Emergency Response",2023-03-01,2024-12-31
01000329,none,"This project focuses on the health services system in the Maldives, specifically targeting the implementation of the Primary Health Care model and the development of human capital in the healthcare sector. There is no mention of water-related elements or water management.",Maldives Health Services - MHS,"The project aims to assist the Ministry of Health reach SDG Goal 3 on Good Health and Wellbeing. Building on lessons learned during the Covid-19 pandemic and its impact on healthcare services and wellbeing of society, the Government of Maldives is accelerating its focus on reviving the Primary Health Care (PHC) system that is outlined in the Maldives’s National Resilience and Recovery Plan. To support the implementation of the PHC model, a separate institution entitled the Maldives Health Services (MHS) will be established. Key components of this initiation plan will be to design the strategy, structure and systems needed to operationalize the PHC system, including required investments into human capital and “future of work,” training and capacity building needs of island level community health workers, health care professionals and other relevant stakeholders in primary healthcare. The PIP will contribute to the development of the programme document that will support the Ministry of Health, Maldives in its ",https://open.undp.org/projects/01000329,Maldives,150001.0,146463.0,"Budget by year: 2024: $0.00; 2023: $150,001.00. SDG 3 (Good health and well-being) budget: 2023: $150,001.00; 2024: $0.00. ",,,3,Good health and well-being,21,"Structural transformation, including green, inclusive and digital transitions",Digital: Output partially enabled through digital technology; OECD DAC Sector: 120 - Health,2023-03-01,2024-08-12
01000709,none,The project focuses on digitalizing civil registration to improve public service efficiency and resilience without any mention of water-related elements or activities.,Digitalization for Efficiency and Resilience in Civil Registration,"The Initiation Phase Digitalization for Efficiency and Resiliency in Civil Registration Project is a response to challenges in the digital sphere caused by Russia’s large-scale aggression against Ukraine with the view of general improvement of stability and efficiency of functioning of the system of state registration of civil status acts.The project strategy is aligned with the priorities of the Government of Ukraine, UNDP Strategic Plan (2022-2025), and the UNDP Country Programme Document. Digitalization of state civil status records from the areas ?ndangered by ongoing warfare will be in a focus of project activities ?ontributing to the efficiency of public services, the resilience of state registers and personal data protection.UNDP CO will complete the initiation phase and will convert the project into a development project scaling up the achievements to the whole territory of Ukraine.",https://open.undp.org/projects/01000709,Ukraine,270000.0,270000.0,"Budget by year: 2024: $264,702.00; 2023: $5,298.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $5,298.00; 2024: $264,702.00. ",,,16,"Peace, justice, and strong institutions",23,Building resilience,Digital: Digital technology is principal enabler for the output; OECD DAC Sector: 150 - Government & Civil Society,2023-05-10,2024-08-01
01001037,related,"The project involves coastal management and marine conservation, which are water-related aspects, but it also focuses on a broader integration of environmental management and development.",PPG- Nature-based Solutions for Intersectoral Nature Positive Development in Timor-Leste,"The project objective is to develop the project concept into a full project: BGI-IP improving sustainability land and coastal management and marine conservation to support Blue Economy. This project aims to straighten Timor-Leste’s environmental management to enhance integration between terrestrial marine, community based, local municipality and national management across environment finance and production sector. It will strength stakeholder engagement and gender integration with project interventions informed by screening for the environmental and social risks and potential adverse impact using UNDP’s SESP.",https://open.undp.org/projects/01001037,Timor-Leste,200000.0,172712.0,"Budget by year: 2025: $0.00; 2024: $72,325.00; 2023: $127,675.00. SDG 13 (Climate action) budget: 2023: $127,675.00; 2024: $72,325.00; 2025: $0.00. ",,,13,Climate action,21,"Structural transformation, including green, inclusive and digital transitions",Digital: Output partially enabled through digital technology; OECD DAC Sector: 410 - General Environment Protection,2023-07-01,2025-06-30
01001094,none,"The project focuses on providing technical skills and training related to advanced technologies such as AI, IoT, and Big Data for the youth in Türkiye. It does not mention any specific water-related aspects or objectives.",Innovation Campus,"The Innovation Campus Project aims to enable the next-generation labour force to work with future-shaping technologies, provide young people with the technical skills they need to thrive in and lead the 4th Industrial Revolution, and accelerate Türkiye’s digital transformation by addressing the skills gap. On 6 February 2023, two devastating earthquakes, measuring 7.7 and 7.6 magnitude on the Richter Scale, struck Kahramanmaras, Türkiye. Impacts have been felt across ten provinces in Türkiye and have caused catastrophic devastation, with at least 14 million people directly impacted in Türkiye. The programme will contribute to the training of disadvantaged young people with a priority given to the youth displaced by the earthquake , on advanced technologies (such as AI, IoT and Big Data)UNDP IICPSD’s SDG AI Lab will support the programme by complementing Samsung’s AI Training curriculum through bridging these technologies with SDGs. The Lab will achieve this via conducting awareness raising and training sessi",https://open.undp.org/projects/01001094,Turkiye,162015.0,66913.0,"Budget by year: 2025: $50,000.00; 2024: $63,500.00; 2023: $48,515.00. SDG 4 (Quality education) budget: 2023: $48,515.00; 2024: $63,500.00; 2025: $50,000.00. ",,,4,Quality education,22,Leaving no one behind,"Hows: Capacity Development / Technical Assistance, Innovative Approaches; Partner: Private sector; Whos: Persons directly affected by natural disasters, Unemployed persons, Women, Youth; Digital: Digital technology is principal enabler for the output; OECD DAC Sector: 110 - Education",2023-07-18,2025-12-31
01000851,none,The project description focuses on finalizing the design of a portfolio and starting pilot activities for the UNDP Cambodia country programme without any specific mention of water-related objectives or infrastructure.,"Nature, Climate and Energy portfolios for UNDP Cambodia","The purpose of this Initiation Plan is therefore to (1) finalize the design of a portfolio to support the implementation of the country programme and (2) start-up pilot outputs and activities, whilst building at the outset a foundation for scaling if successful.",https://open.undp.org/projects/01000851,Cambodia,2026823.0,1529878.0,"Budget by year: 2025: $0.00; 2024: $1,911,851.00; 2023: $114,972.00. SDG 13 (Climate action) budget: 2023: $22,994.40; 2024: $382,370.20; 2025: $0.00. SDG 14 (Life below water) budget: 2023: $22,994.40; 2024: $382,370.20; 2025: $0.00. SDG 15 (Life on Land) budget: 2023: $68,983.20; 2024: $1,147,110.60; 2025: $0.00. ",,,"13, 14, 15","Climate action, Life below water, Life on Land",21,"Structural transformation, including green, inclusive and digital transitions","Hows: Convening / Partnerships / Knowledge Sharing, Institutional Mechanism and System Building; Partner: Donor government, International Financial Institution (IFI); Whos: People living in multi-dimensional poverty, People living in peri-urban areas, People living in rural areas, People living in urban areas, Persons directly affected by natural disasters; Climate: Policies and Enabling Environment; Digital: No digital technology utilized, Output partially enabled through digital technology; Human Rights: Limited contribution to realization of human rights; Sustaining Peace: Not expected to contribute towards sustaining peace; Innovation: Foresight; OECD DAC Sector: 410 - General Environment Protection",2023-06-09,2024-12-31
01000951,none,"The project description centers on citizen engagement, community security, and social cohesion without any mention of water-related issues or water management.",Mykolaiv Recovered,Enhanced citizen engagement for strengthened community security and increased social cohesion in eastern Ukraine,https://open.undp.org/projects/01000951,Ukraine,9275761.0,2695581.0,"Budget by year: 2025: $5,297,878.00; 2024: $3,823,059.00; 2023: $154,824.00. SDG 8 (Decent work and economic growth) budget: 2023: $22,124.35; 2024: $546,315.13; 2025: $757,066.77. SDG 3 (Good health and well-being) budget: 2023: $22,124.35; 2024: $546,315.13; 2025: $757,066.77. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $66,233.71; 2023: $66,373.05; 2024: $1,635,504.64; 2024: $1,638,945.39; 2025: $2,266,432.21; 2025: $2,271,200.30. SDG 4 (Quality education) budget: 2023: $44,248.70; 2024: $1,092,630.26; 2025: $1,514,133.53. ",,,"8, 3, 16, 4","Decent work and economic growth, Good health and well-being, Peace, justice, and strong institutions, Quality education",23,Building resilience,"Digital: Output partially enabled through digital technology, Output significantly enabled through digital technology; OECD DAC Sector: 110 - Education, 150 - Government & Civil Society, 160 - Other Social Infrastructure & Services",2023-07-01,2025-12-31
01000215,none,"The project is focused on developing a national policy and action plan for children and adolescents, with no connection to water or water-related issues mentioned in the title or description.",Política y Plan de Acción Nacional de Niñez y Adolescencia 2024 – 2032,"El proyecto se propone generar insumos para la adecuación de la Política y Plan de Acción Nacional de Niñez y Adolescencia 2024-2032. Para ello se realizará un proceso participativo que considere niños, niñas y adolescentes, sus familias, actores claves tanto a nivel nacional como local.",https://open.undp.org/projects/01000215,Chile,231277.0,165952.0,"Budget by year: 2024: $93,750.00; 2023: $137,527.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $137,527.00; 2024: $93,750.00. ",,,16,"Peace, justice, and strong institutions",23,Building resilience,Digital: No digital technology utilized; OECD DAC Sector: 150 - Government & Civil Society,2023-01-01,2024-05-31
00113948,none,"The project title and description do not mention any aspects of water, water management, or related infrastructure. It is focused on health in the Pacific region.",PIMS5396 Pacific Health,PIMS5396 Pacific Health,https://open.undp.org/projects/00113948,Bangkok Regional Hub,12176759.0,912862.0,"Budget by year: 2025: $7,548,316.00; 2024: $4,034,643.00; 2023: $593,800.00. SDG 3 (Good health and well-being) budget: 2023: $593,800.00; 2024: $4,034,643.00; 2025: $7,548,316.00. ",,,3,Good health and well-being,21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance, Institutional Mechanism and System Building; South-South and Triangular Cooperation: Capacity builder; Partner: National government, Sub-national government; Whos: Persons directly affected by natural disasters; Digital: Output significantly enabled through digital technology; OECD DAC Sector: 740 - Disaster Prevention & Preparedness",2023-02-08,2028-02-08
01001558,none,"This project focuses on combating human trafficking and smuggling of migrants, and does not mention anything related to water or water management.",Enhanced African & Arab capacities in combating human trafficking and smuggling of migrants.,"11.	The efficient response to human trafficking and smuggling of migrants in Africa requires a comprehensive and holistic approach that involves various stakeholders. This brings about the need for knowledge, skills and frameworks that enable the African countries to prevent and combat both crimes, protect victims, prosecute perpetrators and allow for regional and international cooperation. From September 2019 till March 2022, in the framework of the completed project “Enhancing Peace, Security and Stability in Africa V 2019-2022”, CCCPA has designed and delivered capacity building activities dedicated to ensuring that African countries are well-equipped to establish the required legal and institutional frameworks for combating both crimes, including national legislations, strategies and action plans, in addition to identification and protection of victims, prosecution of criminal element and engagement in regional and international collaboration.",https://open.undp.org/projects/01001558,Egypt,346500.0,134623.0,"Budget by year: 2025: $206,560.00; 2024: $139,940.00; 2023: $0.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $0.00; 2024: $139,940.00; 2025: $206,560.00. ",,,16,"Peace, justice, and strong institutions",22,Leaving no one behind,"Digital: No digital technology utilized; OECD DAC Sector: 152 - Conflict, Peace & Security",2023-11-01,2025-10-31
01000297,none,This project is focused on strengthening the institutional capacity of the Ombudsman’s Office and the protection of human rights. There is no mention of water or water-related issues.,Assistance to Strengthening the Institutional Capacity of the Ombudman’s Office of Turkmenistan,"The project will be aimed at strengthening the independent and effective functions of the Ombudsmans Office in the protection of human rights, including the rights of women and girls in accordance with the Paris Principles.",https://open.undp.org/projects/01000297,Turkmenistan,191928.0,178170.0,"Budget by year: 2025: $0.00; 2024: $93,092.00; 2023: $98,836.00. SDG 5 (Gender equality) budget: 2023: $49,418.00; 2024: $46,546.00; 2025: $0.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $49,418.00; 2024: $46,546.00; 2025: $0.00. ",,,"5, 16","Gender equality, Peace, justice, and strong institutions",21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance, Normative Support; Humanitarian: Humanitarian Plus; Joint Programme: Joint Activity; Whos: People living in rural areas, People living in urban areas; COVID-19 Response: Governance; Digital: No digital technology utilized; Human Rights: Principal contribution is to the realization of human rights; Sustaining Peace: Sustaining Peace is the principal objective; OECD DAC Sector: 150 - Government & Civil Society",2023-03-01,2025-04-30
01000233,related,"This project focuses on ocean governance and sustainable ocean economy, which is indirectly related to water as it deals with marine and coastal ecosystems.",Gobernanza para una nueva agenda de acción oceánica en México,El Proyecto tiene como objetivo brindar apoyo al equipo de océanos de la Secretaría de Relaciones Exteriores del Gobierno de México en la instrumentación de la Estrategia de Instrumentación para una Economía Oceánica Sostenible.,https://open.undp.org/projects/01000233,Mexico,50000.0,47434.0,"Budget by year: 2024: $35,545.00; 2023: $14,455.00. SDG 4 (Quality education) budget: 2023: $14,455.00; 2024: $35,545.00. ",,,4,Quality education,21,"Structural transformation, including green, inclusive and digital transitions",Hows: Support Functions; Humanitarian: Appeal; Joint Programme: Joint Activity; Whos: People living in rural areas; COVID-19 Response: Governance; Climate: Policies and Enabling Environment; Digital: No digital technology utilized; Human Rights: Limited contribution to realization of human rights; Sustaining Peace: Contributes to sustaining peace empowerment in a limited way; OECD DAC Sector: 410 - General Environment Protection,2023-04-10,2024-12-31
00146719,none,"This project description focuses on the acceleration of a peace agreement in collaboration with the United Kingdom, with no mention of water-related elements.",Aceleracin Acuerdo de PAZ  Programa Reino Unido,Aceleracin Acuerdo de PAZ Programa Reino Unido,https://open.undp.org/projects/00146719,Colombia,649093.0,262900.0,"Budget by year: 2025: $0.00; 2024: $47,302.00; 2023: $238,950.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $238,950.00; 2024: $47,302.00; 2025: $0.00. ",,,16,"Peace, justice, and strong institutions",21,"Structural transformation, including green, inclusive and digital transitions","Digital: Output partially enabled through digital technology; Innovation: Crowdfunding and alternative finance, Solution mapping; OECD DAC Sector: 152 - Conflict, Peace & Security",2023-01-01,2024-12-31
01000745,none,"The project focuses on the institutional capacity for the publication and distribution of the White Paper on Defense, promoting transparency and accountability in defense matters. It has no connection to water.",ARG23P01_Libro Blanco de la Defensa 2023,"Aportar a la consolidación de la capacidad institucional para dar continuidad a la iniciativa del Libro Blanco de la Defensa, como medida de rendición de cuentas y transparencia, en lo que será su cuarta edición. Se acompañarán e impulsarán las acciones necesarias para la elaboración, publicación y distribución de la edición 2023 del Libro Blanco de la Defensa; promoviendo un debate plural y federal sobre la Defensa Nacional como parte fundamental de todo el proceso con el aporte académico especializado y la participación ciudadana.",https://open.undp.org/projects/01000745,Argentina,196284.0,62884.0,"Budget by year: 2025: $0.00; 2024: $11,260.00; 2023: $185,024.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $185,024.00; 2024: $11,260.00; 2025: $0.00. ",,,16,"Peace, justice, and strong institutions",23,Building resilience,Digital: Output partially enabled through digital technology; OECD DAC Sector: 150 - Government & Civil Society,2023-04-01,2024-12-31
00143193,related,"This project is indirectly related to water as it involves the management and preservation of coral reefs, which are part of marine ecosystems.",Global Fund for Coral Reef,Global Fund for Coral Reef,https://open.undp.org/projects/00143193,Jordan,199865.0,195696.0,"Budget by year: 2025: $0.00; 2024: $4,489.00; 2023: $195,376.00. SDG 13 (Climate action) budget: 2023: $130,237.64; 2024: $2,992.37; 2025: $0.00. SDG 12 (Responsible consumption and production) budget: 2023: $65,138.36; 2024: $1,496.63; 2025: $0.00. ",,,"13, 12","Climate action, Responsible consumption and production",21,"Structural transformation, including green, inclusive and digital transitions","Hows: Capacity Development / Technical Assistance, Data Collection and Analysis, Institutional Mechanism and System Building; Humanitarian: Humanitarian Plus; South-South and Triangular Cooperation: Capacity builder; Partner: NGOs/CSOs, Private sector, Research Institutions / Universities, Sub-national government; Whos: Women, Youth; Digital: No digital technology utilized; OECD DAC Sector: 410 - General Environment Protection",2023-01-01,2028-12-31
01000595,none,"This project focuses on land rights recognition, local capacity building, and the optimization of land information processes, without any explicit mention of water-related components.",Apoyo a la Agencia Nacional de Tierras para el desarrollo de la intervención territorial de la reforma rural integral,"El proyecto tiene como objetivo principal fortalecer las capacidades locales para abordar las necesidades de las comunidades en relación con el reconocimiento de sus derechos sobre la tierra. Se centra en la implementación de estrategias que permitan llegar de manera cercana y asertiva a las comunidades, capitalizando experiencias técnicas y buenas prácticas. Se busca simplificar procesos y procedimientos, brindar asesoría en herramientas digitales, y optimizar su uso para la sistematización de la información obtenida durante el levantamiento predial y Barrido Predial Masivo en la implementación de los Planes de Ordenamiento Social de la Propiedad Rural. La estrategia también incluye el seguimiento, monitoreo y validación de resultados para contribuir a la Gestión de Conocimiento del proyecto.",https://open.undp.org/projects/01000595,Colombia,6520585.0,2524967.0,"Budget by year: 2025: $396,961.00; 2024: $5,075,499.00; 2023: $1,048,125.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $1,048,125.00; 2024: $5,075,499.00; 2025: $396,961.00. ",,,16,"Peace, justice, and strong institutions",21,"Structural transformation, including green, inclusive and digital transitions",Digital: Output partially enabled through digital technology; OECD DAC Sector: 150 - Government & Civil Society,2023-06-23,2025-12-31
01000425,related,"The project primarily focuses on enhancing food security and livelihood through agricultural and fishery sectors in Bangsamoro. While it does not directly focus on water, the mention of improving fishery sectors indicates a related but not primary focus on water resources.",Enhancing Food Security and Livelihood in Bangsamoro,"The project aims to support and sustain peacebuilding and recovery in Bangsamoro on a food supply crisis and food price inflation and the delay of livelihood support under the Peace Process through the following two approaches. The first is short-term assistance in providing immediate food distribution among the worst impacted or more marginalized communities in the BARMM and adjacent areas in Mindanao. The second is mid-term support to improve livelihood in Bangsamoro through enhancing the capacity of Community Cooperative Groups (including women’s associations) and strengthening food value chains for the agricultural and fishery sectors towards food security. The project will also contribute to addressing the socio-economic impacts of natural and human-induced disasters in the BARMM, particularly in the aftermath of tropical storm Nalgae (Paeng) which severely affected vulnerable communities in the region.By improving basic food sufficiency and economic stability in post-conflict Bangsamoro, this project co",https://open.undp.org/projects/01000425,Philippines,4030254.0,2279465.0,"Budget by year: 2025: $0.00; 2024: $1,566,786.00; 2023: $2,463,468.00. SDG 8 (Decent work and economic growth) budget: 2023: $492,693.60; 2024: $313,357.20; 2025: $0.00. SDG 1 (No poverty) budget: 2023: $492,693.60; 2024: $313,357.20; 2025: $0.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $492,693.60; 2024: $313,357.20; 2025: $0.00. SDG 2 (Zero hunger) budget: 2023: $985,387.20; 2024: $626,714.40; 2025: $0.00. ",,,"8, 1, 16, 2","Decent work and economic growth, No poverty, Peace, justice, and strong institutions, Zero hunger",23,Building resilience,"Hows: Capacity Development / Technical Assistance, Convening / Partnerships / Knowledge Sharing, Direct support / Service Delivery; Partner: Donor government; Whos: Minorities (e.g. race, ethnicity, linguistic, religion, etc.), People living in rural areas, Persons negatively affected by armed conflict or violence, Women, Youth; Digital: No digital technology utilized, Output significantly enabled through digital technology; Sustaining Peace: Contributes to sustaining peace empowerment in a limited way; OECD DAC Sector: 152 - Conflict, Peace & Security, 310 - Agriculture, Forestry, Fishing, 520 - Development Food Assistance",2023-03-02,2024-12-31
01001236,none,"The project focuses on social cohesion, governance, peace building, and addressing radicalization without any mention of water-related issues or infrastructure.","Enhancing social cohesion and social contract, through empowerment of women and youth in three northern regions of Ghana","To strengthens the existing governance and peace building structures, fostering improved relations between local communities and security forces and at the same time addressing the underlying drivers of radicalization to violent extremism in Ghana.",https://open.undp.org/projects/01001236,Ghana,1399983.0,920177.0,"Budget by year: 2025: $427,073.00; 2024: $938,572.00; 2023: $34,338.00. SDG 5 (Gender equality) budget: 2023: $8,584.50; 2024: $234,643.00; 2025: $106,768.25. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $25,753.50; 2024: $703,929.00; 2025: $320,304.75. ",,,"5, 16","Gender equality, Peace, justice, and strong institutions",23,Building resilience,"Hows: Capacity Development / Technical Assistance, Data Collection and Analysis, Innovative Approaches, Institutional Mechanism and System Building, Policy Advice; Joint Programme: Joint Activity; Whos: People living in peri-urban areas, Persons negatively affected by armed conflict or violence, Women, Youth; Digital: No digital technology utilized, Output partially enabled through digital technology; Human Rights: Principal contribution is to the realization of human rights, Significant contribution to realization of human rights; Sustaining Peace: Sustaining Peace is the principal objective, Sustaining peace is a significant objective; OECD DAC Sector: 150 - Government & Civil Society, 152 - Conflict, Peace & Security",2023-08-01,2025-07-31
01000659,none,"This project focuses on financial systems and climate change mitigation strategies, and does not mention any aspects specifically related to water management or water resources.",Transforming Financial Systems for Climate in Egypt (TFSC Egypt),"Egypt is highly vulnerable to climate change that poses several numerous threats to its economic, social and environmental sustainability. Furthermore, the rapid population growth and ambitious development and industrialization plans have put a heavy pressure on Egypt’s natural and environmental resources. In that respect, the stakeholders have to converge towards a low emission development strategy while increasing resilience of vulnerable sectors and groups to climate change. Among these stakeholders, local Financial Institutions (FIs) play a key role in scaling up climate finance for local private investments. This project aims to scale up and intensify financial investments towards more diversified private sector projects on climate technologies and techniques through enabling both the public and private sectors’ borrowing by supporting local FIs with removing financial and technical barriers and reinforcing their capacity.",https://open.undp.org/projects/01000659,Egypt,660709.0,226643.0,"Budget by year: 2025: $400,000.00; 2024: $189,136.00; 2023: $71,573.00. ",,,,,21,"Structural transformation, including green, inclusive and digital transitions",Digital: Output partially enabled through digital technology; OECD DAC Sector: 410 - General Environment Protection,2023-01-01,2026-12-31
01000408,none,"The project focuses on facilitating national dialogue and political processes in Ethiopia, with no mention of water resources or water-related infrastructure.",Support to an Incl.& Effect. National Dialogue Commission in Ethiopia,"Facilitating consultation, effective national dialogue process, establishing a system of deliberations, implementation of recommendations, developing political culture that can solve internal problems, and laying a firm foundation for national consensus and the building of a state with strong legitimacy.",https://open.undp.org/projects/01000408,Ethiopia,13335851.0,9812070.0,"Budget by year: 2025: $0.00; 2024: $9,359,556.00; 2023: $3,976,295.00. SDG 16 (Peace, justice, and strong institutions) budget: 2023: $3,976,295.00; 2024: $9,359,556.00; 2025: $0.00. ",,,16,"Peace, justice, and strong institutions",23,Building resilience,"COVID-19 Response: COVID-19 sensitive work; Climate: Mitigation Action; Digital: Output partially enabled through digital technology; Human Rights: Significant contribution to realization of human rights; Sustaining Peace: Sustaining peace is a significant objective; Innovation: Foresight; OECD DAC Sector: 152 - Conflict, Peace & Security",2023-03-16,2025-08-31
